model,metric,point,ci_lo,ci_hi,bar,p_above_bar
GradBoost d2,kappa,0.6833895086923849,0.49204173768830334,0.8589894242068155,0.61,0.7805
GradBoost d2,accuracy,0.8488625,0.75,0.9333333333333333,0.8,0.89875
GradBoost d2,specificity,0.7989954509210733,0.631578947368421,0.9473684210526315,,
GradBoost d2,recall,0.8845578723967135,0.7714285714285715,0.972972972972973,0.8,0.93975
baseline RF,kappa,0.5011894423981534,0.2784570607362675,0.7033527015158416,0.61,0.1655
baseline RF,accuracy,0.76535,0.6666666666666666,0.8666666666666667,0.8,0.3205
baseline RF,specificity,0.6387274558215815,0.45,0.8214285714285714,,
baseline RF,recall,0.8554535951649264,0.7352941176470589,0.9666666666666667,0.8,0.84525
