sample_code,label,max_robust_z,worst_feature,n_feat_z_gt5,mcd_dist,framing_flagged
S001,1,3.9108929114409836,avg_large_blotch_diam_px,0,21.595527806102794,False
S002,1,1.9103592201433075,F_p05,0,19.050603184862638,False
S003,1,2.0271664336559327,F_p05,0,22.040666610374053,False
S004,0,1.1078820392897981,F_p05,0,16.375161080414667,False
S005,1,2.825073682760045,mean_G,0,23.1564001907862,False
S006,0,12.726551007626243,F_p05,1,181.9576954359379,False
S007,1,2.1011459021565924,avg_small_blob_diam_px,0,24.75502033513155,False
S008,0,2.530111794986796,ratio_small_to_large,0,12.524860457069016,False
S009,1,1.1789936389868199,sd_R,0,22.986253586902777,False
S010,1,2.137963427301227,mean_B,0,23.704346598483447,False
S011,0,10.33313751493749,mean_G,1,949.3770615226226,False
S012,1,1.0534252416377123,mean_R,0,14.623357501836015,False
S013,1,2.009945609735248,sd_R,0,24.045147194829244,False
S014,1,1.5371337740529514,NDFI_p05,0,22.62342161394003,False
S015,1,3.9108929114409836,avg_large_blotch_diam_px,0,15.977363567793828,False
S016,1,1.8782463097166253,avg_large_blotch_diam_px,0,19.0901240503565,False
S017,1,2.768582070088366,avg_large_blotch_diam_px,0,31.447653967208044,False
S018,0,13.700788921512528,ratio_small_to_large,1,35.51890912867075,False
S019,0,1.3968530445813667,ratio_small_to_large,0,12.599679773302915,False
S020,0,3.3747107481298775,sd_R,0,20.345798849249178,False
S021,1,1.7809903074392681,avg_large_blotch_diam_px,0,17.92785962311648,False
S022,1,2.256218641351599,NDFI_p05,0,23.91949217147547,False
S023,1,4.156578636499395,mean_G,0,31.508009819981567,False
S024,1,2.7947089052671537,mean_G,0,26.522569318272307,False
S025,1,2.5066360578455966,avg_large_blotch_diam_px,0,14.477747572181258,False
S026,1,3.4052458797000127,mean_G,0,28.23761777520454,False
S027,1,2.931936097161377,avg_large_blotch_diam_px,0,23.501922630992595,False
S028,1,3.9108929114409836,avg_large_blotch_diam_px,0,17.204954227586263,False
S029,1,1.7336978800685208,NDFI_p05,0,22.74281541732008,False
S030,1,1.7853983481865054,ratio_small_to_large,0,18.050485070802065,False
S031,1,11.019471753797827,mean_G,2,894.5424413235553,False
S032,0,3.9108929114409836,avg_large_blotch_diam_px,0,16.39058737753909,False
S033,0,3.9108929114409836,avg_large_blotch_diam_px,0,21.698561534447407,False
S034,1,1.6081586215717842,sd_G,0,25.538265314843354,False
S035,0,1.6530230820621628,avg_small_blob_diam_px,0,16.825683137253943,False
S036,0,3.1667614281813026,avg_large_blotch_diam_px,0,17.725070068725646,False
S037,0,5.426211502396061,ratio_small_to_large,1,28.464588338915323,False
S038,0,13.700785197957675,ratio_small_to_large,1,408.3601392651278,False
S039,0,2.106197693062702,A_high,0,19.125268119531047,False
S040,1,4.142337089627908,F_p05,0,21.066697001729978,False
S041,0,1.2785309980617103,mean_B,0,19.853076444436372,False
S042,0,3.9108929114409836,avg_large_blotch_diam_px,0,17.963545032413847,False
S043,1,2.746134068514322,avg_large_blotch_diam_px,0,22.145394519852907,False
S044,0,4.391888872490581,ratio_small_to_large,0,20.110594067559063,False
S045,1,0.9645932209219227,NDFI_mean,0,15.46282843170912,True
S046,1,2.7005654160730006,sd_R,0,24.266537155503574,False
S047,1,5.198880901671314,sd_R,1,35.83344730961976,False
S048,0,3.062047167206361,ratio_small_to_large,0,21.961054560027723,False
S049,0,8.337160555192312,F_p05,1,36.15724565075064,False
S050,0,4.764247890532437,ratio_small_to_large,0,16.010532788152595,False
S051,0,1.8372884334909299,cluster_density,0,19.35213971464421,False
S052,1,1.2501434347465332,mean_B,0,14.349006729144863,False
S053,1,2.8028407929419146,F_p05,0,24.469914059961653,False
S054,0,3.5099934481495154,ratio_small_to_large,0,61.82879188019111,False
S055,0,0.9982479555050595,avg_small_blob_diam_px,0,16.728465030142036,False
S056,1,1.0920248246322999,A_high,0,8.319784854594014,False
S057,1,4.763065373920776,F_p05,0,27.290612528388014,False
S058,0,1.8252920802936494,avg_small_blob_diam_px,0,17.318803124393522,False
S059,0,10.721938932341798,ratio_small_to_large,1,23.537400757941686,False
S060,1,3.9108929114409836,avg_large_blotch_diam_px,0,30.67928165103584,False
