name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes
d2/200/0.05,0.8199999999999998,0.8514285714285715,0.7759999999999998,0.8542460317460318,0.6288625833173046,0.9031428571428571,0.11648615183369895,0.1504750945217364,0.19338557287962255,0.11557647932945707,0.24001858201441154,0.10804726513328755,0.5,104,112,accuracy✓ recall✓ kappa✓
innerCV d2/50/0.2,0.8183333333333332,0.8542857142857143,0.768,0.8507023809523809,0.6243288167394204,0.9028571428571428,0.1132248440929168,0.14639205189901633,0.19637111845079502,0.11585523581688341,0.23363703330701543,0.11128825293901463,0.5,102,116,accuracy✓ recall✓ kappa✓
verified d2/100/0.1,0.8158333333333332,0.8457142857142856,0.7739999999999999,0.8543412698412698,0.6199414052637736,0.9048571428571429,0.11440508786846323,0.1487666604934601,0.20231987873991356,0.11769371774168244,0.23812911897779196,0.10859231211017244,0.5,108,113,accuracy✓ recall✓ kappa✓
stumps d1/100/0.1,0.8158333333333333,0.8828571428571428,0.722,0.8281031746031746,0.6136307172034726,0.9075714285714285,0.10939008032963045,0.1337347081751273,0.19673085752629227,0.11043739119308178,0.22915159208794791,0.09915027563929708,0.5,82,139,accuracy✓ recall✓ kappa✓
d3/100/0.1,0.7916666666666667,0.82,0.752,0.8373253968253969,0.5697596340812285,0.8611428571428571,0.12507012623272515,0.1430301982117579,0.2185720416103976,0.12878988071787878,0.26142060331894124,0.13611931661979423,0.5,126,124,accuracy✗ recall✓ kappa✗
