name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,d_kappa,sd_of_diff,sem,t,wins,losses,ties
GradBoost d2,0.8158333333333332,0.8457142857142856,0.7739999999999999,0.8543412698412698,0.6199414052637736,0.9048571428571429,0.11440508786846323,0.1487666604934601,0.20231987873991356,0.11769371774168244,0.23812911897779196,0.10859231211017244,0.5,108,113,accuracy✓ recall✓ kappa✓,0.08122815382999643,0.18529851866769492,0.018529851866769493,4.383637517128074,50.0,17.0,33.0
GradBoost stumps d1,0.8158333333333333,0.8828571428571428,0.722,0.8281031746031746,0.6136307172034726,0.9075714285714285,0.10939008032963045,0.1337347081751273,0.19673085752629227,0.11043739119308178,0.22915159208794791,0.09915027563929708,0.5,82,139,accuracy✓ recall✓ kappa✓,0.07491746576969538,0.1906048541454663,0.019060485414546628,3.930511953935847,52.0,22.0,26.0
GradBoost d2 + cw 0.5,0.8041666666666666,0.8285714285714286,0.77,0.8474682539682541,0.5971235376239246,0.8825714285714287,0.12100808795816369,0.14782139462306382,0.19974731512335753,0.11840529753337864,0.25046058279993183,0.10880774767180723,0.5,120,115,accuracy✓ recall✓ kappa✗,0.05841028619014737,0.20942601892666618,0.02094260189266662,2.7890653935698717,51.0,23.0,26.0
Vote soft LR+ET+GB,0.8025000000000001,0.8571428571428572,0.726,0.8290699855699856,0.5879808314153665,0.8891428571428572,0.11152385460475925,0.140675989690666,0.20627528923624122,0.12280594333391333,0.23229831480897478,0.10638490925760534,0.5,100,137,accuracy✓ recall✓ kappa✗,0.04926757998158927,0.13970433443529948,0.013970433443529948,3.5265605881688873,41.0,17.0,42.0
L1 in-fold + RF,0.7974999999999999,0.8671428571428572,0.6999999999999998,0.8145699855699854,0.5751229919108551,0.8804285714285714,0.11190060424358111,0.14104916532090567,0.2059714602177749,0.11655622582377602,0.23304448128999533,0.10674345952473628,0.5,93,150,accuracy✗ recall✓ kappa✗,0.03640974047707794,0.14044940829383462,0.014044940829383462,2.5923740740085583,28.0,15.0,57.0
RF cw pos:neg=0.5:1,0.7833333333333333,0.7828571428571428,0.7839999999999999,0.8495198412698411,0.5614033750883596,0.868,0.12194642896615793,0.17286555022307662,0.19001329033794057,0.12728265143476375,0.24259568482067048,0.10480361231954617,0.5,152,108,accuracy✗ recall✗ kappa✗,0.022690123654582357,0.1695493162132507,0.01695493162132507,1.3382609945795267,46.0,23.0,31.0
RF cw=balanced,0.7833333333333334,0.83,0.7179999999999999,0.8190858585858584,0.5505674171339181,0.878,0.11903559342820884,0.1555607090467712,0.2129067705106931,0.12506164161307132,0.24535680035743576,0.10234158107365922,0.5,119,141,accuracy✗ recall✓ kappa✗,0.011854165700140933,0.11883513906451157,0.011883513906451157,0.9975303427469974,24.0,13.0,63.0
baseline RF (thr 0.5),0.7808333333333333,0.8585714285714284,0.6719999999999999,0.7992049062049061,0.5387132514337772,0.8828571428571429,0.10571160713600572,0.13391185561869504,0.20601068914113177,0.11239246268845103,0.2240813743834556,0.10413032761323386,0.5,99,164,accuracy✗ recall✓ kappa✗,,,,,,,
